task_id,WL,Retention,PEC,num_points
33,1,4,0,25
34,1,4,1000,26
107,3,4,8000,30
117,3,5,7000,32
166,5,4,1000,25
279,8,5,4000,26
281,8,5,6000,29
363,11,4,0,25
389,11,6,4000,22
423,12,6,5000,22
621,18,6,5000,24
642,19,5,4000,27
694,21,4,1000,27
695,21,4,2000,26
782,23,6,1000,23
881,26,6,1000,24
990,30,4,0,22
997,30,4,7000,28
1035,31,5,1000,25
1054,31,6,9000,23
1056,32,4,0,24
1070,32,5,3000,25
1107,33,5,7000,29
1168,35,5,2000,25
1224,37,4,3000,26
1273,38,5,8000,31
1296,39,4,9000,28
1389,42,4,3000,26
1442,43,6,1000,23
1467,44,5,4000,26
1576,47,6,3000,22
1632,49,5,4000,27
1736,52,5,9000,28
1867,56,5,8000,29
2061,62,5,4000,24
2192,66,5,3000,25
2237,67,6,4000,23
2276,68,6,10000,25
2296,69,5,8000,28
2319,70,4,9000,27
2345,71,4,2000,25
2388,72,5,1000,23
2424,73,5,4000,25
2508,76,4,0,23
2546,77,4,5000,25
2573,77,6,10000,25
2692,81,5,8000,29
2711,82,4,5000,28
2720,82,5,3000,24
2747,83,4,8000,26
2857,86,5,8000,30
2858,86,5,9000,28
3158,95,6,1000,22
3159,95,6,2000,22
3236,98,4,2000,25
3266,98,6,10000,27
3331,100,6,9000,23
3332,100,6,10000,25
3337,101,4,4000,24
3474,105,4,9000,26
3485,105,5,9000,28
3492,105,6,5000,23
3500,106,4,2000,23
3514,106,5,5000,27
3519,106,5,10000,30
3566,108,4,2000,25
3751,113,6,0,20
3772,114,4,10000,27
3805,115,4,10000,26
3828,116,4,0,22
3858,116,6,8000,24
3919,118,6,3000,24
4048,122,6,0,22
4188,126,6,8000,22
4189,126,6,9000,22
4193,127,4,2000,23
4225,128,4,1000,23
4448,134,6,4000,24
4461,135,4,6000,24
4524,137,4,3000,25
4565,138,5,0,28
4607,139,5,9000,30
4647,140,6,5000,24
4717,142,6,9000,24
4776,144,6,2000,25
4792,145,4,7000,25
4826,146,4,8000,29
4849,146,6,9000,25
4869,147,5,7000,28
4877,147,6,4000,25
4929,149,5,1000,26
4949,149,6,10000,24
5043,152,6,5000,25
5101,154,5,8000,30
5112,154,6,8000,22
5144,155,6,7000,25
5316,161,4,3000,24
5381,163,4,2000,25
5384,163,4,5000,26
5414,164,4,2000,25
5534,167,6,1000,23
5617,170,4,7000,27
5658,171,5,4000,26
5694,172,5,7000,26
5816,176,4,8000,26
5841,177,4,0,24
5843,177,4,2000,21
5858,177,5,6000,28
5887,178,5,2000,24
6248,189,5,0,23
6299,190,6,7000,23
6359,192,6,1000,24
6407,194,4,5000,25
6425,194,6,1000,25
6466,195,6,9000,23
6743,204,5,0,26
6752,204,5,9000,27
6762,204,6,8000,25
6839,207,4,8000,28
6878,208,5,3000,25
6970,211,4,7000,26
6983,211,5,9000,28
6987,211,6,2000,22
7035,213,4,6000,24
7063,214,4,1000,22
7090,214,6,6000,21
7141,216,5,2000,23
7214,218,5,9000,27
7257,219,6,8000,24
7309,221,5,5000,26
7333,222,4,7000,22
7411,224,5,8000,28
7422,224,6,8000,23
7439,225,5,3000,28
7451,225,6,4000,23
7578,229,5,10000,28
7764,235,4,9000,27
7785,235,6,8000,24
7869,238,5,4000,24
7884,238,6,8000,22
7923,240,4,3000,22
7931,240,5,0,23
7948,240,6,6000,21
7971,241,5,7000,25
8015,242,6,7000,22
8259,250,4,9000,25
8325,252,4,9000,25
8330,252,5,3000,28
8407,254,6,3000,23
8441,255,6,4000,21
